id	user_id	location	caption	url	url_thumbnail	im_height	im_width	n_comments	n_likes	timestamp_media	timestamp_db	is_ad	shortcode	is_duplicate
1624191487069770000	407673418		"🤷🏽‍♀️😂❤️ @alessiopizza_maker 
#love #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #followme #girl #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram #colorful #style #swag"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352121_103344027080011_1421516973908426752_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352121_103344027080011_1421516973908426752_n.jpg	1080	1080	0	19	1507838734	1507838944	False	BaKSY1aAcV2	0
1624191489915450000	198112283		Creo que en vez de ojos , tengo dos oceanos .  Mujer 👧😹 #tagsforlikes #instadaily #nikon #picoftheday #photooftheday #likeforlike  #fashion #nature #beautiful #me #art #fun #cute #food #girl #love #selfie #summer #happy #igers #smile  #like4like #instagood #instalike	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22351724_1812573779034864_4185708129763196928_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c77.0.926.926/22351724_1812573779034864_4185708129763196928_n.jpg	926	1080	0	30	1507838735	1507838943	False	BaKSY4Dn3SM	0
1624191490056190000	2962281865	{u'slug': u'common-bond-cafe-and-bakery', u'id': u'271968432', u'name': u'Common Bond Cafe and Bakery', u'has_public_page': True}	"This is one of the finest croissants I have ever had. Pistachio croissant.  Super good, go get some.

このクロワッサンは今までの中でトップ3に入る美味さ。ピスタチオクロワッサン。絶対食うべし。

#food #foodie #bread #croissant  #bakery #french #houston #cafe #coffee #breakfast #lunch #dinner #dessert #delish #delicious #クロワッサン #パン #ピスタチオ #コーヒー #カフェ #かわいい #モーニング #朝ごはん #ランチ #昼ごはん #ディナー #夜ごはん #うまい #おいしい #美味"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352286_1495252533899930_407495123971080192_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352286_1495252533899930_407495123971080192_n.jpg	1080	1080	1	12	1507838735	1507838943	False	BaKSY4MAwJB	0
1624191495198520000	249246446		"Sometimes you meet people and just click - like you've known them for your whole life. What would Paris be without you ❤️
.
.
.
.
#love #TagsForLikes #parisian #instagood #me #smile #follow #cute #photooftheday #tbt #followme #girl #beautiful #happy #picoftheday #instadaily #food #swag #amazing #swedishgirl #fashion #igers #fun #summer #instalike #bestoftheday #france #like4like #friends #instamood"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22429677_386995628383631_3960409263699918848_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c77.0.925.925/22429677_386995628383631_3960409263699918848_n.jpg	925	1080	1	32	1507838735	1507838942	False	BaKSY8-hK-A	0
1624191498185910000	3868258203		#food #picoftheday #친스타그램 #followme #소통 #cute	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22499985_2106171549409124_8491457473008369664_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c8.0.673.673/22499985_2106171549409124_8491457473008369664_n.jpg	731	750	0	0	1507838736	1507838942	False	BaKSY_wlJ12	0
1624191503545020000	195662466		Dockle date with my babe 💕 #pub #publunch #lunch #food #bestfriend #friend #friends #ombre #ombrehair #goodtimes #positivethinking	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22427204_873179539503982_669390779298349056_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.110.882.882/22427204_873179539503982_669390779298349056_n.jpg	1350	1080	0	5	1507838736	1507838941	False	BaKSZEwAi7R	0
1624191511154670000	3103896318		Мой новый #салатик East Turkish🍀🍄Маме понравился😋#foodporn#instafood#yummy#delicious#kitchen#bean#mushrooms#salad#eggs#autumnmood#autumntime#evening#осень#октябрь#еда#блог#instadaily#рецептики#east#turkish#mood#exspression#ужин#supper#instanight#tasty#food#sweetoctober#2017	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22427342_299893077083920_4417557757255745536_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427342_299893077083920_4417557757255745536_n.jpg	1080	1080	0	12	1507838737	1507838941	False	BaKSZL1lEWF	0
1624191514065000000	2209029163		#food #foodporn #foodislife #foodstagram #foodpic #foodography #foodstyling #foodpost #foodpassion #foodblogger #michelinstar #michelin #michelinstarfood #michelinchef #michelinchef #vienna #lecielbytonimörwald #pictureoftheday #pictureday #pictureperfect	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22426838_384106878686746_716869581171326976_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.1.1080.1080/22426838_384106878686746_716869581171326976_n.jpg	1082	1080	0	2	1507838738	1507838940	False	BaKSZOjDEOo	0
1624191528543140000	243897730		Lasagna 😍😍 #food #ilovefood #instafood #foodofinsta #lasagna #italian #pasta #dinner #familyfood #dinnertime #yum #foodofinstagram	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22427525_1522933271120060_6297505959652622336_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.136.1080.1080/22427525_1522933271120060_6297505959652622336_n.jpg	1352	1080	0	4	1507838739	1507838940	False	BaKSZcCAyaw	0
1624191537058780000	5463092302		"But fuck every other day

#spamforspam #spam #photography #photo #art #travel #memes #boy #girl #gender #food #place #makeup #anime #beauty #sports #gaming #youtube #bugs #tall #short #draw #game #random #klance"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22427113_1437174649693446_2449383195657895936_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427113_1437174649693446_2449383195657895936_n.jpg	1080	1080	0	11	1507838740	1507838939	False	BaKSZj9lYwy	0
